Year,Grain Corn Harvested Area (hectares),Grain Corn Production ('000 bu),Grain Corn Yield (bu/ha),Grain Corn Price per unit ($/bu),Grain Corn Total Value ($'000)
5-year Avg. ('18-'22),868925,356161,409.9,6.4,2287710
10-year Avg. ('13-'22),846028,344360,406.9,5.6,1953542
25-year Avg.('98-'22),782189,286544,363.8,4.7,1408727
Overall Avg,771139,251729,324,4,1087214
2023,898038,379244,422.3,,
2022,906253,371740,410.2,8.13,3022246
2021,861535,373000,432.9,7.37,2749010
2020,866027,350724,405,5.97,2093822
2019,869062,340164,391.4,5.33,1813074
2018,841746,345176,410.1,5.1,1760398
2017,833652,344000,412.6,4.34,1492960
2016,809371,317000,391.7,4.83,1531110
2015,825559,348000,421.5,4.55,1583400
2014,752715,299200,397.5,4.67,1397264
2013,894355,354600,396.5,5.9,2092140
2012,894355,338500,378.5,6.61,2237722
2011,809371,304000,375.6,6.16,1872640
2010,785090,318000,405,5.25,1602200
2009,736528,260000,353,4.14,1037900
2008,700106,270000,385.7,4.71,1272200
2007,831629,275000,330.7,4.58,1259500
2006,621192,231000,371.9,3.78,873200
2005,633333,227000,358.4,2.71,616100
2004,647497,210000,324.3,2.94,618300
2003,698083,219000,313.7,3.62,793700
2002,772950,216000,279.4,3.96,855400
2001,793184,202000,254.7,3.44,694900
2000,698083,181500,260,3.22,584400
1999,728434,231000,317.1,2.84,656000
1998,744622,237000,318.3,2.99,708600
1997,683919,190000,277.8,3.66,695400
1996,728434,200000,274.6,3.88,776000
1995,698083,202000,289.4,4.64,937300
1994,663684,198000,298.3,3,594000
1993,708200,190000,268.3,3.34,634600
1992,566560,136000,240,2.77,376700
1991,765539,209000,273,2.67,558000
1990,740575,207000,279.5,2.64,546500
1989,724387,188000,259.5,3.07,577200
1988,704153,147000,208.8,3.63,533600
1987,744622,215000,288.7,2.57,552600
1986,740259,185000,249.9,2.28,421800
1985,849840,214000,251.8,2.87,614200
1984,857934,205000,238.9,3.41,699100
1983,809371,184900,228.4,4.03,745100
1982,841746,204500,242.9,2.84,580800
1981,878887,206120,234.5,2.92,601900
